customerid,tenure,monthlycharges,totalcharges,churn
7590-VHVEG,1,30,29,No
5575-GNVDE,34,57,1889,No
3668-QPYBK,2,54,108,Yes
7795-CFOCW,45,42,1840,No
9237-HQITU,2,71,151,Yes
9305-CDSKC,8,100,820,Yes
1452-KIOVK,22,89,1949,No
6713-OKOMC,10,30,301,No
7892-POOKP,28,105,3046,Yes
6388-TABGU,62,56,3487,No
9763-GRSKD,13,50,587,No
7469-LKBCI,16,19,326,No
8091-TTVAX,58,100,5681,No
0280-XJGEX,49,104,5036,Yes
5129-JLPIS,25,106,2686,No
3655-SNQYZ,69,113,7895,No
8191-XWSZG,52,21,1022,No
9959-WOFKT,71,107,7382,No
4190-MFLUW,10,55,528,Yes
4183-MYFRB,21,90,1862,No
8779-QRDMV,1,40,39,Yes
1680-VDCWW,12,20,202,No
1066-JKSGK,1,20,20,Yes
3638-WEABW,58,60,3505,No
6322-HRPFA,49,60,2970,No
6865-JZNKO,30,55,1530,No
6467-CHFZW,47,99,4749,Yes
8665-UTDHZ,1,30,30,Yes
5248-YGIJN,72,90,6369,No
8773-HHUOZ,17,65,1093,Yes
3841-NFECX,71,96,6766,No
4929-XIHVW,2,96,181,No
6827-IEAUQ,27,66,1874,No
7310-EGVHZ,1,20,20,No
3413-BMNZE,1,45,45,No
6234-RAAPL,72,100,7251,No
6047-YHPVI,5,70,316,Yes
6572-ADKRS,46,75,3548,No
5380-WJKOV,34,106,3549,Yes
8168-UQWWF,11,98,1105,Yes
8865-TNMNX,10,50,475,No
9489-DEDVP,70,69,4872,No
9867-JCZSP,17,21,418,No
4671-VJLCL,63,80,4861,No
4080-IIARD,13,76,981,No
3714-NTNFO,49,84,3906,No
5948-UJZLF,2,49,97,No
7760-OYPDY,2,81,144,Yes
7639-LIAYI,52,80,4217,No
2954-PIBKO,69,64,4254,No
8012-SOUDQ,43,90,3838,No
9420-LOJKX,15,99,1426,Yes
6575-SUVOI,25,70,1752,No
7495-OOKFY,8,81,633,Yes
4667-QONEA,60,75,4456,No
1658-BYGOY,18,95,1752,Yes
8769-KKTPH,63,100,6311,No
5067-XJQFU,66,108,7076,No
3957-SQXML,34,25,894,No
5954-BDFSG,72,108,7853,No
0434-CSFON,47,100,4707,No
1215-FIGMP,60,90,5450,No
0526-SXDJP,72,42,2962,No
0557-ASKVU,18,54,957,No
5698-BQJOH,9,94,857,Yes
5122-CYFXA,3,75,244,No
8627-ZYGSZ,47,79,3650,No
3410-YOQBQ,31,79,2497,No
3170-NMYVV,50,20,930,No
7410-OIEDU,10,80,887,No
2273-QCKXA,1,49,49,No
0731-EBJQB,52,20,1090,No
1891-QRQSA,64,112,7099,No
8028-PNXHQ,62,24,1424,No
5630-AHZIL,3,64,177,No
2673-CXQEU,56,110,6139,No
6416-JNVRK,46,56,2688,No
5590-ZSKRV,8,55,482,No
0191-ZHSKZ,30,75,2111,No
3887-PBQAO,45,26,1216,No
5919-TMRGD,1,79,79,Yes
8108-UXRQN,11,51,565,No
9191-MYQKX,7,75,496,Yes
9919-YLNNG,42,104,4327,No
0318-ZOPWS,49,20,973,No
4445-ZJNMU,9,99,918,No
4808-YNLEU,35,62,2215,No
1862-QRWPE,48,21,1057,No
2796-NNUFI,46,20,927,No
3016-KSVCP,29,34,1009,No
4767-HZZHQ,30,82,2570,No
2424-WVHPL,1,75,74,No
7233-PAHHL,66,84,5714,No
6067-NGCEU,65,111,7107,No
9848-JQJTX,72,101,7459,No
8637-XJIVR,12,79,927,Yes
9803-FTJCG,71,67,4748,No
0278-YXOOG,5,21,113,Yes
3212-KXOCR,52,21,1107,No
4598-XLKNJ,25,98,2514,Yes
6380-ARCEH,1,20,20,No
3679-XASPY,1,19,19,No
7123-WQUHX,38,95,3605,No
5386-THSLQ,66,46,3027,No
3192-NQECA,68,110,7611,Yes
6180-YBIQI,5,24,100,No
6728-DKUCO,72,104,7303,No
9750-BOOHV,32,30,927,No
8597-CWYHH,43,94,3921,No
2848-YXSMW,72,19,1363,No
0486-HECZI,55,97,5238,Yes
4549-ZDQYY,52,58,3042,No
5712-AHQNN,43,92,3954,No
4846-WHAFZ,37,76,2868,Yes
5256-SKJGO,64,55,3423,No
3071-VBYPO,3,90,248,No
9560-BBZXK,36,31,1126,No
5299-RULOA,10,100,1064,Yes
8402-OOOHJ,41,21,835,No
9445-ZUEQE,27,85,2151,No
1091-SOZGA,56,100,5515,No
2928-HLDBA,6,21,112,No
0404-SWRVG,3,74,229,Yes
6497-TILVL,7,51,350,No
7219-TLZHO,4,21,62,No
4622-YNKIJ,33,89,3027,No
4412-YLTKF,27,78,2135,Yes
6734-PSBAW,72,24,1723,No
3930-ZGWVE,1,20,19,No
2639-UGMAZ,71,56,3985,No
2876-GZYZC,13,86,1215,No
6207-WIOLX,25,59,1502,Yes
8587-XYZSF,67,51,3260,No
3091-FYHKI,1,35,35,Yes
2372-HWUHI,2,44,81,Yes
7799-LGRDP,43,26,1188,No
7850-VWJUU,23,75,1778,No
3774-VBNXY,64,20,1277,No
6217-KDYWC,57,20,1170,No
0390-DCFDQ,1,70,70,Yes
3146-MSEGF,72,88,6425,No
4080-OGPJL,8,71,563,Yes
1095-WGNGG,61,101,5971,No
2636-SJDOU,64,84,5289,No
1131-QQZEB,71,24,1756,No
5716-EZXZN,65,99,6416,No
6837-BJYDQ,3,20,61,No
2135-RXIHG,1,46,45,Yes
6440-DKQGE,30,64,1929,No
3466-BYAVD,15,70,1071,No
3780-YVMFA,8,69,564,No
3874-EQOEP,7,95,655,Yes
1679-JRFBR,70,108,7930,No
9073-ZZIAY,62,86,5215,No
3077-RSNTJ,6,20,113,No
6551-GNYDG,14,81,1152,No
9167-APMXZ,22,84,1821,No
2749-CTKAJ,22,20,419,No
6371-NZYEG,16,64,1024,No
7554-NEWDD,10,26,251,No
8992-VONJD,13,56,764,No
0867-MKZVY,20,82,1592,Yes
4482-EWFMI,2,70,135,No
4648-YPBTM,53,74,3958,No
2907-ILJBN,11,21,233,No
6345-FZOQH,69,20,1363,No
3376-BMGFE,4,71,273,Yes
5997-OPVFA,72,89,6254,No
3445-HXXGF,58,45,2651,Yes
1159-WFSGR,16,20,321,No
7654-YWJUF,43,84,3539,No
1875-QIVME,2,104,242,Yes
6727-IOTLZ,14,82,1181,No
0691-JVSYA,53,95,5000,Yes
5918-VUKWP,32,21,654,No
1744-JHKYS,34,25,780,No
2656-FMOKZ,15,74,1145,Yes
2070-FNEXE,7,76,503,Yes
5947-SGKCL,15,105,1559,No
3712-PKXZA,61,21,1252,No
6317-YPKDH,1,30,29,Yes
6582-OIVSP,1,45,45,No
9367-WXLCH,8,84,662,Yes
5524-KHNJP,33,75,2453,No
1918-ZBFQJ,13,79,1111,Yes
1024-GUALD,1,25,24,Yes
4827-USJHP,20,52,1023,No
8167-GJLRN,3,30,82,No
0956-SYCWG,13,20,244,No
8017-UVSZU,40,57,2379,No
7100-FQPRV,43,72,3173,No
2472-OVKUP,6,91,531,Yes
2984-RGEYA,69,20,1375,No
9680-NIAUV,72,110,8129,No
2146-EGVDT,59,19,1192,No
2604-IJPDU,20,97,1901,No
9178-JHUVJ,24,24,587,No
6168-YBYNP,59,111,6519,No
7255-SSFBC,72,112,8041,No
3645-DEYGF,1,21,20,No
9323-HGFWY,27,102,2681,No
8544-GOQSH,14,80,1112,No
3363-DTIVD,71,106,7405,No
7018-WBJNK,13,78,1033,No
9142-KZXOP,44,69,2958,No
7674-YTAFD,33,80,2684,No
6348-SNFUS,72,55,4179,No
1285-OKIPP,1,80,79,Yes
7825-ECJRF,19,107,1934,Yes
1347-KTTTA,64,102,6654,No
7841-TZDMQ,2,46,84,Yes
4195-NZGTA,1,25,25,No
7157-SMCFK,61,20,1124,No
4709-LKHYG,29,20,540,No
2504-DSHIH,23,87,1975,No
0699-NDKJM,57,59,3437,No
9286-BHDQG,72,45,3139,No
0230-WEQUW,66,57,3789,No
2040-LDIWQ,65,84,5324,No
6496-JDSSB,8,80,624,No
9408-SSNVZ,4,70,268,Yes
4443-EMBNA,71,25,1836,No
6469-MRVET,1,20,20,No
0742-MOABM,4,50,179,Yes
5961-VUSRV,12,19,219,No
6778-JFCMK,24,51,1288,No
6341-JVQGF,31,81,2545,No
2232-DMLXU,1,55,55,Yes
4811-JBUVU,30,90,2723,No
0945-TSONX,47,85,4107,No
2651-ZCBXV,54,108,5760,No
3316-UWXUY,50,94,4747,No
8937-RDTHP,1,85,84,Yes
7083-MIOPC,72,20,1566,No
1984-GPTEH,29,25,702,No
1251-KRREG,2,54,114,Yes
0621-JFHOL,10,30,299,No
9903-LYSAB,18,73,1305,No
0094-OIFMO,11,95,1120,Yes
9227-UAQFT,16,20,284,No
7301-ABVAD,72,87,6350,No
6614-FHDBO,72,109,7878,No
7576-ASEJU,41,75,3187,No
9058-HRZSV,65,94,6126,No
4522-AKYLR,13,55,731,No
0221-WMXNQ,4,75,273,No
0303-UNCIP,41,65,2531,No
9947-OTFQU,15,74,1074,Yes
0322-YINQP,1,49,48,Yes
0959-WHOKV,42,99,4298,No
4075-JFPGR,51,94,4619,No
4629-NRXKX,2,70,147,Yes
9514-JDSKI,1,40,40,Yes
3282-ZISZV,32,84,2633,No
3675-YDUPJ,10,20,193,No
4111-BNXIF,67,60,4103,No
7017-VFHAY,61,115,7008,No
6655-LHBYW,50,114,5791,No
4959-JOSRX,2,45,80,Yes
5046-NUHWD,29,45,1228,No
7273-TEFQD,3,41,132,Yes
3606-TWKGI,13,107,1364,Yes
7529-ZDFXI,57,90,4925,No
7605-BDWDC,31,50,1520,No
1950-KSVVJ,45,113,5032,No
0123-CRBRT,61,88,5526,No
6292-TOSSS,50,25,1195,No
3197-ARFOY,19,105,2007,No
6323-AYBRX,59,19,1099,Yes
7014-ZZXAW,71,24,1732,No
4385-GZQXV,16,94,1511,Yes
7633-MVPUY,57,60,3450,No
6366-ZGQGL,1,25,24,Yes
4716-HHKQH,20,107,2172,No
5940-AHUHD,1,71,70,Yes
6432-TWQLB,5,85,401,Yes
4484-GLZOU,52,105,5624,Yes
3179-GBRWV,21,65,1339,No
8645-KWHJO,14,55,771,No
4130-MZLCC,5,51,244,No
0314-TKOSI,6,55,322,No
8229-MYEJZ,10,51,498,No
2080-SRCDE,1,25,25,No
9577-WJVCQ,68,54,3687,No
9512-UIBFX,18,95,1779,Yes
6202-DYYFX,22,76,1783,No
3808-HFKDE,20,44,927,No
5583-SXDAG,1,70,70,Yes
3488-PGMQJ,8,74,606,Yes
3580-REOAC,10,45,435,Yes
7534-BFESC,24,76,1712,Yes
3727-OWVYD,35,61,2021,No
2294-SALNE,23,87,1940,No
4847-TAJYI,6,89,567,No
1563-IWQEX,12,20,220,No
8203-XJZRC,1,20,20,No
6556-DBKZF,71,76,5436,No
6851-WEFYX,35,101,3437,No
2985-JUUBZ,40,75,3015,No
6390-DSAZX,1,74,73,Yes
0895-LMRSF,23,65,1509,No
8098-LLAZX,4,95,396,Yes
8266-VBFQL,4,90,356,No
8181-YHCMF,68,60,4109,No
2240-HSJQD,38,82,3141,No
1248-DYXUB,52,25,1229,No
0265-EDXBD,32,75,2303,Yes
4115-BNPJY,29,76,2054,No
3167-SNQPL,38,101,3741,No
4091-TVOCN,48,79,3682,No
1098-TDVUQ,1,19,19,No
7277-OZCGZ,22,89,1886,No
1557-EMYVT,43,115,4895,No
2799-ARNLO,5,69,341,No
7563-BIUPC,5,81,415,Yes
5027-YOCXN,51,110,5686,No
3973-SKMLN,71,20,1355,No
2321-OMBXY,38,80,3058,Yes
2840-XANRC,24,93,2231,Yes
6745-JEFZB,35,92,3236,No
5020-ZSTTY,54,82,4350,Yes
9880-TDQAC,72,60,4264,No
8705-WZCYL,1,45,44,No
7102-JJVTX,9,49,422,No
8626-PTQGE,69,60,4176,No
4983-CLMLV,52,103,5138,No
5701-YVSVF,11,83,880,No
5804-LEPIM,2,70,139,Yes
5697-GOMBF,28,36,973,No
2739-CACDQ,17,83,1470,No
9385-EHGDO,35,20,739,No
9498-FIMXL,8,19,161,No
2379-GYFLQ,46,95,4422,No
0122-OAHPZ,7,74,511,Yes
2868-SNELZ,2,81,155,Yes
4322-RCYMT,68,76,5293,Yes
6680-NENYN,43,105,4759,Yes
2088-IEBAU,68,88,6148,No
7982-VCELR,36,95,3565,No
1343-EHPYB,63,103,6603,Yes
6035-BXTTY,32,55,1830,No
6885-PKOAM,71,86,6223,No
7520-HQWJU,66,67,4508,No
9639-BUJXT,63,20,1328,No
5924-SNGKP,41,20,865,No
0021-IKXGC,1,72,72,No
2034-GDRCN,2,90,168,Yes
8966-SNIZF,70,19,1303,No
6243-OZGFH,23,45,996,No
4654-DLAMQ,64,97,6430,No
0513-RBGPE,37,63,2278,No
5160-UXJED,17,45,681,No
4115-NZRKS,7,89,574,No
0219-YTZUE,4,85,371,Yes
0623-IIHUG,21,42,840,Yes
4572-DVCGN,10,80,846,Yes
3351-NGXYI,16,54,889,No
8984-EYLLL,64,105,6823,No
9057-MSWCO,27,31,805,Yes
9833-TGFHX,42,97,4016,No
9294-TDIPC,5,20,83,No
5229-DTFYB,41,99,3959,No
0104-PPXDV,58,50,2878,No
5176-LMJXE,47,21,945,No
3583-KRKMD,18,76,1373,No
1010-DIAUQ,5,96,492,Yes
9069-LGEUL,23,60,1406,No
7302-ZHMHP,1,19,19,No
9571-EDEBV,71,99,6962,No
3520-FJGCV,72,113,8126,No
6563-VRERX,33,21,690,No
0259-GBZSH,2,86,181,Yes
6122-EFVKN,24,36,830,No
2805-EDJPQ,56,100,5608,No
6862-CQUMB,37,96,3646,No
7156-MXBJE,43,85,3662,No
6158-HDPXZ,1,25,25,No
9601-BRXPO,25,105,2566,Yes
2863-IMQDR,61,90,5308,No
5686-CMAWK,17,87,1410,No
5651-CRHKQ,41,86,3339,No
6905-NIQIN,1,51,50,Yes
8204-YJCLA,72,65,4732,No
5167-ZFFMM,1,91,90,Yes
6583-SZVGP,48,108,5067,No
4895-TMWIR,11,20,214,Yes
0533-BNWKF,55,85,4874,Yes
1708-PBBOA,42,55,2348,No
8782-LKFPK,44,90,4063,No
5522-JBWMO,1,44,44,No
3597-MVHJT,27,96,2595,No
9774-NRNAU,27,85,2309,No
0224-RLWWD,2,44,89,No
9967-ATRFS,19,20,367,No
3951-NJCVI,42,95,3944,No
2977-CEBSX,66,90,5965,No
0177-PXBAT,33,110,3694,No
